epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.11391,1.36894,0.65,1,0.81278,0.00023331,0.00023331,0.00023331
2,7.21181,0.87947,0.72143,1,0.98027,0.000468271,0.000468271,0.000468271
3,8.94447,0.71841,0.71429,1,0.68548,0.000693553,0.000693553,0.000693553
4,10.611,0.7081,0.76429,1,0.67535,0.000909156,0.000909156,0.000909156
5,12.3651,0.60063,0.72143,1,0.71636,0.00102301,0.00102301,0.00102301
6,14.3798,0.55297,0.76429,1,0.86263,0.00100101,0.00100101,0.00100101
7,16.6127,0.5448,0.73571,1,0.78313,0.000979013,0.000979013,0.000979013
8,18.3521,0.48797,0.71429,1,0.92084,0.000957015,0.000957015,0.000957015
9,20.0619,0.43496,0.75,1,0.91765,0.000935018,0.000935018,0.000935018
10,21.8117,0.42611,0.75,1,1.01775,0.00091302,0.00091302,0.00091302
11,23.6755,0.38789,0.76429,1,0.63678,0.000891022,0.000891022,0.000891022
12,25.4815,0.39007,0.70714,1,0.75392,0.000869024,0.000869024,0.000869024
13,27.1325,0.36949,0.7,1,0.8364,0.000847026,0.000847026,0.000847026
14,28.7773,0.34566,0.75714,1,0.8005,0.000825029,0.000825029,0.000825029
15,30.4409,0.28897,0.68571,1,1.11874,0.000803031,0.000803031,0.000803031
16,32.1535,0.28073,0.73571,1,0.62655,0.000781033,0.000781033,0.000781033
17,33.9753,0.22528,0.71429,1,1.00719,0.000759035,0.000759035,0.000759035
18,35.6591,0.21316,0.72857,1,0.72346,0.000737037,0.000737037,0.000737037
19,37.3882,0.198,0.75,1,1.07764,0.00071504,0.00071504,0.00071504
